lng,lat
-61.007538,14.611474
-61.05876,14.61656
-61.056854,14.602316
-60.936296,14.560458
-61.07172,14.61241
-60.844122,14.504411
-61.0370886326,14.6238800824
-61.03333,14.61806
-61.08054,14.63291
-61.00817,14.61226
-61.03035,14.61794
-61.01395,14.61548
-61.06998,14.61177
-60.98957,14.62189
-61.049044,14.628471
-60.99946,14.59904
-61.00149,14.61916
-61.0505,14.6144
-61.09066,14.66971
-61.04967,14.61446
-60.935653,14.688278
-61.01801,14.62075
-60.903536,14.455105
-61.03139,14.61837
-60.97912,14.6255
-61.08847,14.6052
-61.05424,14.59758
-61.06363,14.60382
-61.07002,14.63009
-61.02785,14.61632
-61.176513,14.744814
-61.072049,14.604165
-61.08446,14.60525
-61.061675,14.616188
-60.910826,14.5828
-61.0709542036,14.6206032549
-61.04658,14.60028
-61.07182,14.60959
-61.06884,14.60763
-61.066968,14.538511
-60.97886,14.62574
-61.054085,14.616166
-60.97979,14.65685
-61.01227,14.61353
-61.0607528687,14.6253613541
-61.0564478771,14.6082753571
-61.04314,14.59538
-60.981781,14.505509
-61.07802,14.6203
-60.920734,14.593172
-60.99379,14.61993
-61.045521,14.831642
-61.04083,14.61249
-60.982999,14.533009
-61.03327,14.61821
-61.174246,14.74864
-61.07456,14.61642
-61.0654688784,14.6040821089
-61.05993,14.61699
-61.03856,14.61827
-61.04822,14.61466
-61.0504245758,14.6143154849
-60.925369,14.508687
-61.06318,14.63669
-61.00084,14.61118
-61.0746717453,14.6165302417
-61.03242,14.61815
-61.147338,14.767047
-61.02311,14.61867
-61.06987,14.60367
-61.0591,14.64182
-61.0509,14.61142
-61.0613,14.6155
-61.03261,14.61693
-61.0761090184,14.6031855823
-61.07846,14.61611
-61.034052372,14.6181013193
-61.165609,14.685481
-60.98881,14.64859
-60.98722,14.59593
-61.0239672661,14.6185788695
-60.99641,14.59667
-61.0448026657,14.6159488707
-61.0564595744,14.5971736375
-61.05301,14.61444
-61.091151,14.850227
-61.06161,14.61535
-61.05709,14.60727
-61.01411,14.6344
-60.968,14.632
-61.0216751857,14.6219850766
-61.0186457634,14.6245793035
-61.0219448805,14.6194820589
-61.03597,14.61815
-61.03833,14.61794
-60.902522,14.612955
-61.03677,14.61839
-60.99032,14.5961
-61.00365,14.61052
-61.07994,14.603822
-61.05522,14.63495
-61.08101,14.61364
-61.0881364346,14.6060237976
-61.03904,14.62273
-61.07221,14.60313
-61.01896,14.61796
-61.01495,14.63426
-61.0184,14.61759
-61.07145,14.63881
-60.962,14.6329
-60.962657,14.738456
-61.01393,14.61553
-60.96285,14.63253
-60.9749,14.64978
-61.08427,14.61027
-61.07544,14.61569
-61.02079,14.61808
-60.985504,14.696705
-60.883554,14.466394
-61.0166,14.61711
-61.028581,14.621105
-61.0500812531,14.61384485
-60.85207,14.560864
-60.926785,14.580915
-61.0143327713,14.6161149769
-61.0716462135,14.6074288389
-61.01841,14.481774
-61.07337,14.61719
-61.04217,14.62415
-60.99388,14.62013
-61.0443701708,14.6191445947
-61.0522127153,14.6140836264
-60.94974,14.740235
-61.028581,14.621105
-61.0598230362,14.6311055419
-61.01096,14.61372
-61.07255,14.62318
-60.940658,14.544134
-60.99724,14.59806
-60.9971380236,14.5995452657
-60.941656,14.697343
-61.04664,14.61473
