NOM,ANNREF,GEOGRAPHIE,CODE_GEO,N122_LIB,N122_MOD,N122,N110d_LIB,N110d_MOD,N110d,RA2020_001_DIM3_LIB,RA2020_001_DIM3_MOD,RA2020_001_DIM3,VALEUR_EXTRAPOLEE,VALEUR_BRUTE,NB_ETAB,IMPUTATION
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations avec ovins et,0.18,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations avec ovins et,0.18,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations spécialisées,0.19,Indicateurs,Superficie agricole utilisé,002,0,0,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations spécialisées,0.19,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations spécialisées,0.19,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations spécialisées,0.19,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations spécialisées,0.19,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations de polycultur,0.20,Indicateurs,Superficie agricole utilisé,002,23.95,23.95,5,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations de polycultur,0.20,Indicateurs,Superficie agricole utilisé,002,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations de polycultur,0.20,Indicateurs,Superficie agricole utilisé,002,,,2,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations de polycultur,0.20,Indicateurs,Superficie agricole utilisé,002,,,2,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations de polycultur,0.20,Indicateurs,Superficie agricole utilisé,002,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Toutes exploitations,0,Indicateurs,ETP (Équivalent Temps Plein,003,79.21508,79.21508,33,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Toutes exploitations,0,Indicateurs,ETP (Équivalent Temps Plein,003,9.414524,9.414524,10,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Toutes exploitations,0,Indicateurs,ETP (Équivalent Temps Plein,003,16.82389,16.82389,13,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Toutes exploitations,0,Indicateurs,ETP (Équivalent Temps Plein,003,,,9,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Toutes exploitations,0,Indicateurs,ETP (Équivalent Temps Plein,003,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,ETP (Équivalent Temps Plein,003,9.188889,9.188889,7,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,ETP (Équivalent Temps Plein,003,,,3,NON
RA2020_001,2020,COM,97201,Classe de taille économique,2.Petites exploitations,0.2,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,ETP (Équivalent Temps Plein,003,,,3,NON
RA2020_001,2020,COM,97201,Classe de taille économique,3.Moyennes exploitations,0.3,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,ETP (Équivalent Temps Plein,003,,,1,NON
RA2020_001,2020,COM,97201,Classe de taille économique,4.Grandes exploitations,0.4,OTEX coef17,Exploitations spécialisées,0.11,Indicateurs,ETP (Équivalent Temps Plein,003,,,0,NON
RA2020_001,2020,COM,97201,Classe de taille économique,Ensemble des exploitations,0,OTEX coef17,Exploitations spécialisées,0.12,Indicateurs,ETP (Équivalent Temps Plein,003,17.24508,17.24508,12,NON
RA2020_001,2020,COM,97201,Classe de taille économique,1.Micro exploitations,0.1,OTEX coef17,Exploitations spécialisées,0.12,Indicateurs,ETP (Équivalent Temps Plein,003,,,3,NON
