LAT,LON,SPEED,COURSE,HEADING,ELAPSED,SHIPNAME,SHIPTYPE,SHIP_ID,TYPE_IMG,TYPE_NAME,STATUS_NAME,DESTINATION,FLAG,LENGTH,ROT,WIDTH,L_FORE,W_LEFT,DWT,GT_SHIPTYPE
25.77053,-76.73557,182.0,7.0,73.0,1157,FLEX VIGILANT,8,6504589,,,,OPEN SEA FOR ORDERS,MH,297.0,,46.0,230.0,26.0,93764.0,18.0
27.18314,-70.38679,182.0,76.0,,7,[SAT-AIS],8,TVRReE5qY3lNVFF4TmpjeU1UUXhOZz09LVB0UWxUOGMyVUFqdDZwMmMwcURYM2c9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
23.47326,-69.76199,194.0,243.0,,5,[SAT-AIS],8,T1RNME1EQXhPVE0wTURBeE9UTTBNQT09LWVFT1NYdXdXNlZsQjVMTnpwM3A3OGc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
27.875,-70.875,130.0,249.0,,5,[SAT-AIS],8,TXpVMU56ZzBNelUxTnpnME16VTFOdz09LWFiWmZlS3drVTNWam9iOStEamtLQUE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.04573,-77.81743,193.0,127.0,129.0,763,DIAMOND GAS VICTORIA,8,6633607,,,,FR IRK,SG,297.0,0.0,46.0,230.0,26.0,89760.0,18.0
26.38,-73.765,180.0,76.0,,4,[SAT-AIS],8,TmprM05EZzVOamszTkRnNU5qazNOQT09LW1uNnJ5RmM2V1kvK3I2YjhGRDFHdEE9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
26.10678,-78.43335,159.0,109.0,110.0,190,HOEGH GALLEON,8,5887768,,,,ROTTERDAM,SG,297.0,0.0,43.0,240.0,16.0,86057.0,18.0
25.81667,-77.57333,150.0,109.0,,3,[SAT-AIS],8,TkRVeE9UazVORFV4T1RrNU5EVXhPUT09LWRXMmczRzNIRGxpbnJOQ3VCdHVNTnc9PQ==,8.0,Tanker,Underway using Engine,,,,,,,,,
25.35561,-75.9688,194.0,117.0,117.0,102,MONTE ALEGRE,7,153013,,,,USPEF>BRSSZ,SG,272.0,0.0,40.0,213.0,17.0,83440.0,11.0
25.14751,-75.5454,188.0,115.0,,19,[SAT-AIS],7,TXpZeU9ERXpNell5T0RFek16WXlPQT09LW5mc2xqb0tibTljdnlKMGx0KzQ3M3c9PQ==,7.0,Cargo Vessel,Underway using Engine,,,,,,,,,
